fid,SourceAgency,SourceDataset,SourceFeatureURL,FeatureType,ReachCode,Measure,ReachSMDate,AddressDate,Catchment,HU,OnNetwork,HydroAddressID,GNIS_NAME,GNIS_ID,SnapTolerance,SnapDistance,InSnapTolerance,QCTolerance,InQCTolerance,QCApproved,NHDPv2ReachCode,NHDPv2Measure,Latitude,Longitude,uri,SourceID,state,huc8,reachcode_nhdpv2
1625,NA,NA,NA,NA,16050201003495,51.41557422367719,2020-10-10T18:15:11Z,2022-03-01T01:32:32Z,0,,1,b9b5b3e3-6436-4eda-b4ed-726096fad927,NA,NA,250,173.866,1,250,1,1,16050201003298,0,39.16328,-119.72638,https://geoconnex.us/iow/demo/NV10623,NV10623,https://geoconnex.us/ref/states/32,https://geoconnex.us/ref/hu08/16050201,https://geoconnex.us/nhdplusv2/reachcode/16050201003298
1626,NA,NA,NA,NA,16010203000070,49.35633995895882,2014-09-02T13:56:19Z,2022-03-01T01:32:33Z,0,,1,0e2e1f98-d7b3-4c66-918f-ecfddc75d62e,Blacksmith Fork,NA,250,22.5844,1,250,1,1,16010203000070,0,41.6271,-111.6783,https://geoconnex.us/iow/demo/UT00377,UT00377,https://geoconnex.us/ref/states/49,https://geoconnex.us/ref/hu08/16010203,https://geoconnex.us/nhdplusv2/reachcode/16010203000070
1627,NA,NA,NA,NA,16020204000196,36.00281150858104,2016-08-04T15:33:45Z,2022-03-01T01:32:15Z,0,,1,defb5c9c-cae4-40ae-8b3c-810197810bdc,NA,NA,250,104.616,1,250,1,1,16020204000196,0,40.74007953,-112.08345,https://geoconnex.us/iow/demo/UT21471,UT21471,https://geoconnex.us/ref/states/49,https://geoconnex.us/ref/hu08/16020204,https://geoconnex.us/nhdplusv2/reachcode/16020204000196
1628,NA,NA,NA,NA,17010101211824,94.31430243098995,2012-01-17T00:00:00Z,2022-03-01T01:32:35Z,0,,1,0e04fb1c-b9ed-43bc-a40b-e129afd3c7c0,Kootenai River,NA,250,14.8206,1,250,1,1,17010101000325,93.34245,48.41028848,-115.31426552,https://geoconnex.us/iow/demo/MT00652,MT00652,https://geoconnex.us/ref/states/30,https://geoconnex.us/ref/hu08/17010101,https://geoconnex.us/nhdplusv2/reachcode/17010101000325
1629,NA,NA,NA,NA,17010201000757,59.25825,2012-01-17T00:00:00Z,2022-03-01T01:32:14Z,0,,1,ebfc6c5f-aef6-414e-b31d-bf710e0bce4e,Hoover Creek,NA,250,20.1944,1,250,1,1,17010201000757,0,46.6342,-112.9851,https://geoconnex.us/iow/demo/MT01379,MT01379,https://geoconnex.us/ref/states/30,https://geoconnex.us/ref/hu08/17010201,https://geoconnex.us/nhdplusv2/reachcode/17010201000757
1630,NA,NA,NA,NA,17010203008536,4.931994893349476,2012-01-17T00:00:00Z,2022-03-01T01:32:16Z,0,,1,47f5e09f-82b4-4589-9ffc-cf6f06b4b0d2,Nevada Creek,NA,250,51.1422,1,250,1,1,17010203008532,0,46.8024,-112.8107,https://geoconnex.us/iow/demo/MT00017,MT00017,https://geoconnex.us/ref/states/30,https://geoconnex.us/ref/hu08/17010203,https://geoconnex.us/nhdplusv2/reachcode/17010203008532
1631,NA,NA,NA,NA,17010205000824,82.881875,2016-09-27T16:20:55Z,2022-03-01T01:32:33Z,0,,1,11997d87-1fb5-43c5-a153-3de54e88ef1a,Little Sleeping Child Creek,NA,250,19.7899,1,250,1,1,17010205000824,0,46.1094,-114.1064,https://geoconnex.us/iow/demo/MT03858,MT03858,https://geoconnex.us/ref/states/30,https://geoconnex.us/ref/hu08/17010205,https://geoconnex.us/nhdplusv2/reachcode/17010205000824
1632,NA,NA,NA,NA,17010205000983,76.12303142914058,2016-09-27T16:38:48Z,2022-03-01T01:32:14Z,0,,1,d3e006fe-2ffa-48e2-98a1-fc2fa9deca8c,Eightmile Creek,NA,250,196.8,1,250,1,1,17010205000983,1.39155,46.6378,-114.0086,https://geoconnex.us/iow/demo/MT03826,MT03826,https://geoconnex.us/ref/states/30,https://geoconnex.us/ref/hu08/17010205,https://geoconnex.us/nhdplusv2/reachcode/17010205000983
1633,NA,NA,NA,NA,17010205010576,99.80084806057877,2015-02-13T14:39:40Z,2022-03-01T01:32:34Z,0,,1,009288b2-c3d0-4824-beb4-fbe72b2ddd04,NA,NA,250,19.5963,1,250,1,1,17010205010257,0,46.83833333,-114.0105079,https://geoconnex.us/iow/demo/MT03856,MT03856,https://geoconnex.us/ref/states/30,https://geoconnex.us/ref/hu08/17010205,https://geoconnex.us/nhdplusv2/reachcode/17010205010257
1634,NA,NA,NA,NA,17010215117218,41.25745150725877,2012-07-19T00:00:00Z,2022-03-01T01:32:15Z,0,,1,f37d78cc-8d46-40d0-828e-b7a4592edd91,Priest River,NA,250,27.3213,1,250,1,1,17010215117111,0,48.4906,-116.9027,https://geoconnex.us/iow/demo/ID00318,ID00318,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17010215,https://geoconnex.us/nhdplusv2/reachcode/17010215117111
